,level_0,CustomerID,Recency,Frequency,Monetory,R,F,M,RFM,RFM_Score,Loyality
58,58,71.0,44,15,105956.0,2,2,1,221,5,Platinum
59,59,72.0,1,96,448940.0,1,1,1,111,3,Platinum
60,60,73.0,259,3,-909.0,4,4,4,444,12,Bronze
61,61,74.0,80,4,84646.0,3,3,2,332,8,Gold
62,62,75.0,104,1,1848.0,3,4,4,344,11,Bronze
63,63,76.0,10,9,25236.0,1,3,3,133,7,Gold
64,64,77.0,15,8,20014.0,1,3,3,133,7,Gold
65,65,78.0,367,2,4275.0,4,4,4,444,12,Bronze
66,66,79.0,7,3,6360.0,1,4,4,144,9,Silver
67,67,80.0,26,12,26098.0,2,3,2,232,7,Gold
68,68,81.0,25,2,6468.0,2,4,4,244,10,Silver
69,69,82.0,58,3,6432.0,3,4,4,344,11,Bronze
70,70,83.0,244,5,13810.0,4,3,3,433,10,Silver
71,71,84.0,45,4,15529.0,2,3,3,233,8,Gold
72,72,85.0,24,33,101212.0,2,2,1,221,5,Platinum
73,73,87.0,12,38,154742.0,1,2,1,121,4,Platinum
74,74,88.0,21,2,4192.0,1,4,4,144,9,Silver
75,75,89.0,135,3,7077.0,3,4,3,343,10,Silver
76,76,90.0,63,1,35568.0,3,4,2,342,9,Silver
77,77,92.0,48,9,27047.0,2,3,2,232,7,Gold
78,78,93.0,89,6,15623.0,3,3,3,333,9,Silver
79,79,94.0,76,5,20578.0,3,3,3,333,9,Silver
80,80,95.0,156,2,3276.0,4,4,4,444,12,Bronze
81,81,96.0,27,2,2784.0,2,4,4,244,10,Silver
82,82,97.0,58,14,33604.0,3,2,2,322,7,Gold
83,83,99.0,22,4,8808.0,2,3,3,233,8,Gold
84,84,100.0,147,5,15196.0,3,3,3,333,9,Silver
85,85,101.0,5,54,235132.0,1,1,1,111,3,Platinum
86,86,102.0,31,45,92476.0,2,1,1,211,4,Platinum
87,87,103.0,56,11,20871.0,2,3,3,233,8,Gold
88,88,104.0,19,50,127282.0,1,1,1,111,3,Platinum
89,89,105.0,55,2,5350.0,2,4,4,244,10,Silver
90,90,106.0,22,20,62418.0,2,2,2,222,6,Gold
91,91,107.0,24,22,181013.0,2,2,1,221,5,Platinum
92,92,108.0,6,3,8198.0,1,4,3,143,8,Gold
93,93,109.0,14,1,552.0,1,4,4,144,9,Silver
94,94,110.0,33,16,76013.0,2,2,2,222,6,Gold
95,95,111.0,26,19,45721.0,2,2,2,222,6,Gold
96,96,112.0,20,9,35374.0,1,3,2,132,6,Gold
97,97,113.0,43,16,18057.0,2,2,3,223,7,Gold
98,98,114.0,48,3,14856.0,2,4,3,243,9,Silver
99,99,115.0,346,1,1374.0,4,4,4,444,12,Bronze
100,100,116.0,11,23,72492.0,1,2,2,122,5,Platinum
101,101,117.0,46,3,6796.0,2,4,3,243,9,Silver
102,102,118.0,66,2,5166.0,3,4,4,344,11,Bronze
103,103,119.0,199,1,3706.0,4,4,4,444,12,Bronze
104,104,120.0,17,9,12124.0,1,3,3,133,7,Gold
105,105,122.0,24,1,1690.0,2,4,4,244,10,Silver
106,106,123.0,28,15,204996.0,2,2,1,221,5,Platinum
107,107,124.0,317,20,29697.0,4,2,2,422,8,Gold
108,108,125.0,96,13,28349.0,3,2,2,322,7,Gold
109,109,129.0,239,1,301.0,4,4,4,444,12,Bronze
110,110,131.0,35,4,1349.0,2,3,4,234,9,Silver
111,111,132.0,289,1,1450.0,4,4,4,444,12,Bronze
112,112,133.0,327,6,14330.0,4,3,3,433,10,Silver
113,113,134.0,74,2,1836.0,3,4,4,344,11,Bronze
114,114,135.0,116,2,3610.0,3,4,4,344,11,Bronze
115,115,136.0,269,7,13398.0,4,3,3,433,10,Silver
116,116,138.0,78,5,16176.0,3,3,3,333,9,Silver
117,117,139.0,30,21,29509.0,2,2,2,222,6,Gold
118,118,140.0,4,13,35522.0,1,2,2,122,5,Platinum
119,119,141.0,66,4,9654.0,3,3,3,333,9,Silver
120,120,142.0,84,13,33744.0,3,2,2,322,7,Gold
121,121,143.0,144,5,9872.0,3,3,3,333,9,Silver
122,122,144.0,56,1,2100.0,2,4,4,244,10,Silver
123,123,145.0,49,11,25990.0,2,3,2,232,7,Gold
124,124,146.0,16,26,113854.0,1,2,1,121,4,Platinum
125,125,147.0,2,9,23046.0,1,3,3,133,7,Gold
126,126,148.0,91,2,2920.0,3,4,4,344,11,Bronze
127,127,150.0,62,3,8570.0,3,4,3,343,10,Silver
128,128,151.0,15,5,2260.0,1,3,4,134,8,Gold
129,129,152.0,35,1,1530.0,2,4,4,244,10,Silver
130,130,153.0,139,2,3498.0,3,4,4,344,11,Bronze
131,131,154.0,194,1,2240.0,4,4,4,444,12,Bronze
132,132,155.0,15,20,38725.0,1,2,2,122,5,Platinum
133,133,156.0,31,1,2046.0,2,4,4,244,10,Silver
134,134,157.0,31,16,39424.0,2,2,2,222,6,Gold
135,135,158.0,20,44,124780.0,1,2,1,121,4,Platinum
136,136,159.0,39,2,4548.0,2,4,4,244,10,Silver
137,137,161.0,84,3,5688.0,3,4,4,344,11,Bronze
138,138,162.0,56,2,3438.0,2,4,4,244,10,Silver
139,139,165.0,81,9,20296.0,3,3,3,333,9,Silver
140,140,166.0,364,1,2720.0,4,4,4,444,12,Bronze
141,141,168.0,10,23,52599.0,1,2,2,122,5,Platinum
142,142,169.0,52,5,2248.0,2,3,4,234,9,Silver
143,143,171.0,7,2,2016.0,1,4,4,144,9,Silver
144,144,172.0,321,5,11384.0,4,3,3,433,10,Silver
145,145,173.0,6,10,23610.0,1,3,3,133,7,Gold
146,146,174.0,305,3,7158.0,4,4,3,443,11,Bronze
147,147,175.0,13,24,51930.0,1,2,2,122,5,Platinum
148,148,176.0,263,5,13440.0,4,3,3,433,10,Silver
149,149,177.0,292,1,2052.0,4,4,4,444,12,Bronze
150,150,179.0,24,52,140053.0,2,1,1,211,4,Platinum
151,151,180.0,12,7,17568.0,1,3,3,133,7,Gold
152,152,181.0,44,2,6840.0,2,4,3,243,9,Silver
153,153,182.0,11,8,12640.0,1,3,3,133,7,Gold
154,154,184.0,317,1,2046.0,4,4,4,444,12,Bronze
155,155,185.0,98,5,7059.0,3,3,3,333,9,Silver
156,156,186.0,40,8,4115.0,2,3,4,234,9,Silver
157,157,187.0,22,8,26868.0,2,3,2,232,7,Gold
158,158,188.0,86,1,1800.0,3,4,4,344,11,Bronze
159,159,189.0,250,1,3012.0,4,4,4,444,12,Bronze
160,160,190.0,45,1,2232.0,2,4,4,244,10,Silver
161,161,191.0,245,1,4224.0,4,4,4,444,12,Bronze
162,162,192.0,5,65,341129.0,1,1,1,111,3,Platinum
163,163,193.0,11,8,17009.0,1,3,3,133,7,Gold
164,164,194.0,235,10,42892.0,4,3,2,432,9,Silver
165,165,195.0,372,1,-1818.0,4,4,4,444,12,Bronze
166,166,197.0,47,3,4992.0,2,4,4,244,10,Silver
167,167,199.0,196,13,180568.0,4,2,1,421,7,Gold
168,168,200.0,321,2,3330.0,4,4,4,444,12,Bronze
169,169,201.0,97,3,7860.0,3,4,3,343,10,Silver
170,170,202.0,118,5,13692.0,3,3,3,333,9,Silver
171,171,203.0,47,12,40000.0,2,3,2,232,7,Gold
172,172,204.0,59,3,10113.0,3,4,3,343,10,Silver
173,173,205.0,41,11,23730.0,2,3,3,233,8,Gold
174,174,206.0,21,15,42942.0,1,2,2,122,5,Platinum
175,175,207.0,35,6,12792.0,2,3,3,233,8,Gold
176,176,208.0,33,11,93459.0,2,3,1,231,6,Gold
177,177,209.0,310,2,3432.0,4,4,4,444,12,Bronze
178,178,214.0,59,14,-1610.0,3,2,4,324,9,Silver
179,179,215.0,187,7,21504.0,4,3,3,433,10,Silver
180,180,216.0,54,2,4011.0,2,4,4,244,10,Silver
181,181,217.0,53,7,22022.0,2,3,3,233,8,Gold
182,182,218.0,83,1,4488.0,3,4,4,344,11,Bronze
183,183,219.0,34,11,28541.0,2,3,2,232,7,Gold
184,184,221.0,5,15,37344.0,1,2,2,122,5,Platinum
185,185,222.0,96,5,11604.0,3,3,3,333,9,Silver
186,186,225.0,20,5,20352.0,1,3,3,133,7,Gold
187,187,226.0,15,7,18564.0,1,3,3,133,7,Gold
188,188,227.0,5,61,256966.0,1,1,1,111,3,Platinum
189,189,228.0,242,1,1776.0,4,4,4,444,12,Bronze
190,190,229.0,277,3,9792.0,4,4,3,443,11,Bronze
191,191,230.0,108,4,8556.0,3,3,3,333,9,Silver
192,192,231.0,214,8,25614.0,4,3,3,433,10,Silver
193,193,232.0,24,29,74952.0,2,2,2,222,6,Gold
194,194,233.0,14,27,73549.0,1,2,2,122,5,Platinum
195,195,235.0,13,3,5988.0,1,4,4,144,9,Silver
196,196,236.0,61,2,6474.0,3,4,4,344,11,Bronze
197,197,237.0,67,8,15906.0,3,3,3,333,9,Silver
198,198,238.0,93,4,10530.0,3,3,3,333,9,Silver
199,199,239.0,69,54,127378.0,3,1,1,311,5,Platinum
200,200,240.0,35,5,11298.0,2,3,3,233,8,Gold
201,201,242.0,29,10,25656.0,2,3,3,233,8,Gold
202,202,244.0,34,2,7800.0,2,4,3,243,9,Silver
203,203,246.0,133,3,7932.0,3,4,3,343,10,Silver
204,204,247.0,110,10,39732.0,3,3,2,332,8,Gold
205,205,249.0,161,18,47147.0,4,2,2,422,8,Gold
206,206,250.0,163,1,4760.0,4,4,4,444,12,Bronze
207,207,251.0,111,6,26850.0,3,3,2,332,8,Gold
208,208,252.0,6,2,1920.0,1,4,4,144,9,Silver
209,209,253.0,338,3,5730.0,4,4,4,444,12,Bronze
210,210,254.0,334,5,10412.0,4,3,3,433,10,Silver
211,211,255.0,152,12,73510.0,3,3,2,332,8,Gold
212,212,256.0,42,4,9682.0,2,3,3,233,8,Gold
213,213,257.0,19,20,69500.0,1,2,2,122,5,Platinum
214,214,258.0,14,7,10501.0,1,3,3,133,7,Gold
215,215,259.0,20,3,5194.0,1,4,4,144,9,Silver
216,216,261.0,14,3,11196.0,1,4,3,143,8,Gold
217,217,262.0,3,29,76418.0,1,2,2,122,5,Platinum
218,218,266.0,62,2,4248.0,3,4,4,344,11,Bronze
219,219,267.0,13,10,24960.0,1,3,3,133,7,Gold
220,220,268.0,151,18,39168.0,3,2,2,322,7,Gold
221,221,269.0,12,20,84696.0,1,2,2,122,5,Platinum
222,222,271.0,8,4,6978.0,1,3,3,133,7,Gold
223,223,272.0,21,29,64199.0,1,2,2,122,5,Platinum
224,224,273.0,28,2,4224.0,2,4,4,244,10,Silver
225,225,274.0,43,28,305467.0,2,2,1,221,5,Platinum
226,226,275.0,290,4,11208.0,4,3,3,433,10,Silver
227,227,276.0,1,18,37556.0,1,2,2,122,5,Platinum
228,228,277.0,24,76,241772.0,2,1,1,211,4,Platinum
229,229,278.0,4,45,107030.0,1,1,1,111,3,Platinum
230,230,279.0,7,23,65594.0,1,2,2,122,5,Platinum
231,231,280.0,16,18,89664.0,1,2,1,121,4,Platinum
232,232,281.0,29,25,53238.0,2,2,2,222,6,Gold
233,233,282.0,376,4,7490.0,4,3,3,433,10,Silver
234,234,283.0,114,15,63640.0,3,2,2,322,7,Gold
235,235,284.0,26,7,17470.0,2,3,3,233,8,Gold
236,236,285.0,213,2,7440.0,4,4,3,443,11,Bronze
237,237,286.0,36,4,37188.0,2,3,2,232,7,Gold
238,238,287.0,273,4,8280.0,4,3,3,433,10,Silver
239,239,288.0,74,7,16320.0,3,3,3,333,9,Silver
240,240,289.0,111,2,3912.0,3,4,4,344,11,Bronze
241,241,291.0,9,27,65682.0,1,2,2,122,5,Platinum
242,242,292.0,80,7,12600.0,3,3,3,333,9,Silver
243,243,294.0,74,1,1632.0,3,4,4,344,11,Bronze
244,244,295.0,13,7,22776.0,1,3,3,133,7,Gold
245,245,296.0,22,48,129580.0,2,1,1,211,4,Platinum
246,246,297.0,301,2,5226.0,4,4,4,444,12,Bronze
247,247,298.0,33,23,56167.0,2,2,2,222,6,Gold
248,248,299.0,16,36,99419.0,1,2,1,121,4,Platinum
249,249,300.0,99,7,18096.0,3,3,3,333,9,Silver
250,250,301.0,108,6,14861.0,3,3,3,333,9,Silver
251,251,302.0,3,1,2880.0,1,4,4,144,9,Silver
252,252,303.0,10,15,33810.0,1,2,2,122,5,Platinum
253,253,304.0,111,3,7654.0,3,4,3,343,10,Silver
254,254,305.0,5,3,6006.0,1,4,4,144,9,Silver
255,255,306.0,246,1,1864.0,4,4,4,444,12,Bronze
256,256,307.0,75,1,2448.0,3,4,4,344,11,Bronze
257,257,308.0,12,2,5376.0,1,4,4,144,9,Silver
258,258,309.0,3,46,90946.0,1,1,1,111,3,Platinum
259,259,310.0,36,14,35388.0,2,2,2,222,6,Gold
260,260,311.0,115,4,10572.0,3,3,3,333,9,Silver
261,261,312.0,18,5,5418.0,1,3,4,134,8,Gold
262,262,313.0,7,7,16286.0,1,3,3,133,7,Gold
263,263,314.0,372,7,12108.0,4,3,3,433,10,Silver
264,264,315.0,29,15,69764.0,2,2,2,222,6,Gold
265,265,316.0,15,11,30640.0,1,3,2,132,6,Gold
266,266,317.0,75,4,8622.0,3,3,3,333,9,Silver
267,267,319.0,26,30,373160.0,2,2,1,221,5,Platinum
268,268,321.0,238,1,1074.0,4,4,4,444,12,Bronze
269,269,323.0,317,6,14257.0,4,3,3,433,10,Silver
270,270,326.0,101,3,7818.0,3,4,3,343,10,Silver
271,271,327.0,70,1,2760.0,3,4,4,344,11,Bronze
272,272,328.0,135,12,5718.0,3,3,4,334,10,Silver
273,273,329.0,61,17,95234.0,3,2,1,321,6,Gold
274,274,331.0,3,281,221096.0,1,1,1,111,3,Platinum
275,275,332.0,4,21,39615.0,1,2,2,122,5,Platinum
276,276,333.0,135,3,4690.0,3,4,4,344,11,Bronze
277,277,334.0,82,7,61428.0,3,3,2,332,8,Gold
278,278,335.0,7,34,279082.0,1,2,1,121,4,Platinum
279,279,336.0,236,17,313427.0,4,2,1,421,7,Gold
280,280,339.0,65,10,10403.0,3,3,3,333,9,Silver
281,281,340.0,117,10,28925.0,3,3,2,332,8,Gold
282,282,341.0,56,8,19006.0,2,3,3,233,8,Gold
283,283,342.0,8,4,13308.0,1,3,3,133,7,Gold
284,284,343.0,379,1,1260.0,4,4,4,444,12,Bronze
285,285,344.0,317,4,16896.0,4,3,3,433,10,Silver
286,286,345.0,7,26,64599.0,1,2,2,122,5,Platinum
287,287,346.0,239,2,5628.0,4,4,4,444,12,Bronze
288,288,347.0,212,1,33240.0,4,4,2,442,10,Silver
289,289,348.0,62,2,3636.0,3,4,4,344,11,Bronze
290,290,350.0,67,1,1440.0,3,4,4,344,11,Bronze
291,291,351.0,31,9,34210.0,2,3,2,232,7,Gold
292,292,352.0,64,6,25308.0,3,3,3,333,9,Silver
293,293,353.0,10,14,29735.0,1,2,2,122,5,Platinum
294,294,354.0,12,7,12292.0,1,3,3,133,7,Gold
295,295,355.0,16,4,3054.0,1,3,4,134,8,Gold
296,296,356.0,366,1,1950.0,4,4,4,444,12,Bronze
297,297,357.0,95,2,8016.0,3,4,3,343,10,Silver
298,298,359.0,199,3,5832.0,4,4,4,444,12,Bronze
299,299,361.0,261,6,12594.0,4,3,3,433,10,Silver
300,300,362.0,337,2,4630.0,4,4,4,444,12,Bronze
301,301,363.0,99,1,2040.0,3,4,4,344,11,Bronze
302,302,364.0,19,1,1992.0,1,4,4,144,9,Silver
303,303,365.0,365,6,12228.0,4,3,3,433,10,Silver
304,304,366.0,174,1,50544.0,4,4,2,442,10,Silver
305,305,367.0,193,2,6156.0,4,4,4,444,12,Bronze
306,306,369.0,180,2,6114.0,4,4,4,444,12,Bronze
307,307,370.0,265,3,8334.0,4,4,3,443,11,Bronze
308,308,371.0,46,1,2370.0,2,4,4,244,10,Silver
309,309,373.0,205,2,5380.0,4,4,4,444,12,Bronze
310,310,374.0,96,3,5882.0,3,4,4,344,11,Bronze
311,311,377.0,47,7,14312.0,2,3,3,233,8,Gold
312,312,379.0,80,3,8204.0,3,4,3,343,10,Silver
313,313,381.0,67,1,2184.0,3,4,4,344,11,Bronze
314,314,382.0,34,7,15622.0,2,3,3,233,8,Gold
315,315,384.0,140,1,5328.0,3,4,4,344,11,Bronze
316,316,388.0,36,1,1764.0,2,4,4,244,10,Silver
317,317,390.0,291,1,3420.0,4,4,4,444,12,Bronze
318,318,391.0,63,11,14510.0,3,3,3,333,9,Silver
319,319,393.0,35,7,6189.0,2,3,4,234,9,Silver
320,320,394.0,4,34,71138.0,1,2,2,122,5,Platinum
321,321,395.0,228,1,2600.0,4,4,4,444,12,Bronze
322,322,396.0,11,19,19472.0,1,2,3,123,6,Gold
323,323,397.0,313,1,6583.0,4,4,3,443,11,Bronze
324,324,398.0,162,6,10313.0,4,3,3,433,10,Silver
325,325,399.0,134,1,120.0,3,4,4,344,11,Bronze
326,326,400.0,274,6,29608.0,4,3,2,432,9,Silver
327,327,401.0,27,7,8807.0,2,3,3,233,8,Gold
328,328,402.0,271,4,7012.0,4,3,3,433,10,Silver
329,329,403.0,98,6,1881.0,3,3,4,334,10,Silver
330,330,405.0,135,7,9610.0,3,3,3,333,9,Silver
331,331,406.0,242,2,1150.0,4,4,4,444,12,Bronze
332,332,408.0,10,14,9667.0,1,2,3,123,6,Gold
333,333,409.0,307,1,1848.0,4,4,4,444,12,Bronze
334,334,412.0,27,6,15126.0,2,3,3,233,8,Gold
335,335,413.0,287,1,1758.0,4,4,4,444,12,Bronze
336,336,414.0,27,37,33042.0,2,2,2,222,6,Gold
337,337,415.0,222,3,6360.0,4,4,4,444,12,Bronze
338,338,418.0,328,5,4757.0,4,3,4,434,11,Bronze
339,339,421.0,60,8,35850.0,3,3,2,332,8,Gold
340,340,422.0,9,16,23838.0,1,2,3,123,6,Gold
341,341,423.0,240,2,4764.0,4,4,4,444,12,Bronze
342,342,427.0,97,1,2106.0,3,4,4,344,11,Bronze
343,343,429.0,69,2,3504.0,3,4,4,344,11,Bronze
344,344,430.0,69,12,18816.0,3,3,3,333,9,Silver
345,345,432.0,25,10,3157.0,2,3,4,234,9,Silver
346,346,434.0,31,1,492.0,2,4,4,244,10,Silver
347,347,435.0,80,3,2572.0,3,4,4,344,11,Bronze
348,348,437.0,44,13,245973.0,2,2,1,221,5,Platinum
349,349,438.0,267,2,3294.0,4,4,4,444,12,Bronze
350,350,439.0,21,2,2442.0,1,4,4,144,9,Silver
351,351,440.0,13,9,57480.0,1,3,2,132,6,Gold
352,352,442.0,43,4,17964.0,2,3,3,233,8,Gold
353,353,443.0,29,8,27804.0,2,3,2,232,7,Gold
354,354,444.0,43,1,11208.0,2,4,3,243,9,Silver
355,355,445.0,11,2,3699.0,1,4,4,144,9,Silver
356,356,449.0,17,3,11472.0,1,4,3,143,8,Gold
357,357,450.0,19,3,1995.0,1,4,4,144,9,Silver
358,358,451.0,12,37,88756.0,1,2,1,121,4,Platinum
359,359,453.0,66,4,1504.0,3,3,4,334,10,Silver
360,360,454.0,95,1,736.0,3,4,4,344,11,Bronze
361,361,455.0,5,7,14247.0,1,3,3,133,7,Gold
362,362,459.0,123,14,639910.0,3,2,1,321,6,Gold
363,363,460.0,25,6,4147.0,2,3,4,234,9,Silver
364,364,461.0,10,2,3930.0,1,4,4,144,9,Silver
365,365,462.0,18,2,2911.0,1,4,4,144,9,Silver
366,366,463.0,17,9,9310.0,1,3,3,133,7,Gold
367,367,464.0,32,1,1284.0,2,4,4,244,10,Silver
368,368,465.0,71,3,137100.0,3,4,1,341,8,Gold
369,369,466.0,55,5,5250.0,2,3,4,234,9,Silver
370,370,467.0,133,4,1321.0,3,3,4,334,10,Silver
371,371,469.0,36,4,10500.0,2,3,3,233,8,Gold
372,372,471.0,238,3,15382.0,4,4,3,443,11,Bronze
373,373,472.0,107,4,6936.0,3,3,3,333,9,Silver
374,374,473.0,32,9,22278.0,2,3,3,233,8,Gold
375,375,474.0,3,2,10200.0,1,4,3,143,8,Gold
376,376,475.0,177,4,3165.0,4,3,4,434,11,Bronze
377,377,476.0,9,2,3552.0,1,4,4,144,9,Silver
378,378,478.0,3,25,81016.0,1,2,2,122,5,Platinum
379,379,479.0,308,1,379.0,4,4,4,444,12,Bronze
380,380,480.0,13,8,21234.0,1,3,3,133,7,Gold
381,381,481.0,123,1,2796.0,3,4,4,344,11,Bronze
382,382,482.0,15,4,9944.0,1,3,3,133,7,Gold
383,383,483.0,90,9,6952.0,3,3,3,333,9,Silver
384,384,487.0,10,4,1256.0,1,3,4,134,8,Gold
385,385,488.0,13,3,6108.0,1,4,4,144,9,Silver
386,386,494.0,244,3,4289.0,4,4,4,444,12,Bronze
387,387,496.0,2,7,35629.0,1,3,2,132,6,Gold
388,388,497.0,76,1,5160.0,3,4,4,344,11,Bronze
389,389,498.0,293,7,3511.0,4,3,4,434,11,Bronze
390,390,499.0,9,5,12490.0,1,3,3,133,7,Gold
391,391,501.0,116,3,6328.0,3,4,4,344,11,Bronze
392,392,502.0,130,3,5700.0,3,4,4,344,11,Bronze
393,393,503.0,12,6,9100.0,1,3,3,133,7,Gold
394,394,504.0,82,2,3705.0,3,4,4,344,11,Bronze
395,395,505.0,32,7,23850.0,2,3,3,233,8,Gold
396,396,506.0,253,1,4536.0,4,4,4,444,12,Bronze
397,397,507.0,269,1,2484.0,4,4,4,444,12,Bronze
398,398,508.0,27,4,7608.0,2,3,3,233,8,Gold
399,399,509.0,327,1,1890.0,4,4,4,444,12,Bronze
400,400,510.0,218,1,2058.0,4,4,4,444,12,Bronze
401,401,511.0,19,22,40768.0,1,2,2,122,5,Platinum
402,402,512.0,248,1,1914.0,4,4,4,444,12,Bronze
403,403,514.0,329,2,2832.0,4,4,4,444,12,Bronze
404,404,515.0,375,1,1815.0,4,4,4,444,12,Bronze
405,405,516.0,27,7,13428.0,2,3,3,233,8,Gold
406,406,517.0,24,11,32063.0,2,3,2,232,7,Gold
407,407,518.0,18,9,25308.0,1,3,3,133,7,Gold
408,408,519.0,56,13,25659.0,2,2,3,223,7,Gold
409,409,520.0,75,1,1830.0,3,4,4,344,11,Bronze
410,410,522.0,19,28,64549.0,1,2,2,122,5,Platinum
411,411,523.0,28,4,11336.0,2,3,3,233,8,Gold
412,412,524.0,134,2,4542.0,3,4,4,344,11,Bronze
413,413,525.0,2,4,9222.0,1,3,3,133,7,Gold
414,414,527.0,31,4,9102.0,2,3,3,233,8,Gold
415,415,528.0,35,1,2544.0,2,4,4,244,10,Silver
416,416,529.0,12,8,5097.0,1,3,4,134,8,Gold
417,417,532.0,60,2,3882.0,3,4,4,344,11,Bronze
418,418,533.0,80,1,8424.0,3,4,3,343,10,Silver
419,419,535.0,89,5,10678.0,3,3,3,333,9,Silver
420,420,536.0,9,1,2232.0,1,4,4,144,9,Silver
421,421,537.0,277,4,9344.0,4,3,3,433,10,Silver
422,422,538.0,298,1,2148.0,4,4,4,444,12,Bronze
423,423,539.0,100,1,2124.0,3,4,4,344,11,Bronze
424,424,540.0,33,1,2460.0,2,4,4,244,10,Silver
425,425,541.0,129,3,3873.0,3,4,4,344,11,Bronze
426,426,542.0,19,11,12363.0,1,3,3,133,7,Gold
427,427,543.0,323,1,1158.0,4,4,4,444,12,Bronze
428,428,544.0,19,23,36847.0,1,2,2,122,5,Platinum
429,429,546.0,81,5,11649.0,3,3,3,333,9,Silver
430,430,548.0,256,1,924.0,4,4,4,444,12,Bronze
431,431,549.0,257,2,4076.0,4,4,4,444,12,Bronze
432,432,550.0,82,1,2400.0,3,4,4,344,11,Bronze
433,433,552.0,21,1,488.0,1,4,4,144,9,Silver
434,434,553.0,382,1,950.0,4,4,4,444,12,Bronze
435,435,554.0,34,2,3267.0,2,4,4,244,10,Silver
436,436,557.0,6,28,34700.0,1,2,2,122,5,Platinum
437,437,558.0,197,1,2840.0,4,4,4,444,12,Bronze
438,438,559.0,270,1,2148.0,4,4,4,444,12,Bronze
439,439,560.0,139,2,8460.0,3,4,3,343,10,Silver
440,440,561.0,2,8,4710.0,1,3,4,134,8,Gold
441,441,562.0,11,48,163302.0,1,1,1,111,3,Platinum
442,442,564.0,189,1,1800.0,4,4,4,444,12,Bronze
